CHRIS/SGX_NK2,"SGX Nikkei 225 Index Futures, Continuous Contract #2 (NK2)"
CHRIS/SGX_NK3,"SGX Nikkei 225 Index Futures, Continuous Contract #3 (NK3)"
CHRIS/SGX_NK5,"SGX Nikkei 225 Index Futures, Continuous Contract #5 (NK5)"
CHRIS/SGX_NK4,"SGX Nikkei 225 Index Futures, Continuous Contract #4 (NK4)"
CHRIS/SGX_NK6,"SGX Nikkei 225 Index Futures, Continuous Contract #6 (NK6)"
CHRIS/SGX_NK7,"SGX Nikkei 225 Index Futures, Continuous Contract #7 (NK7)"
CHRIS/SGX_NK8,"SGX Nikkei 225 Index Futures, Continuous Contract #8 (NK8)"
CHRIS/SGX_NK9,"SGX Nikkei 225 Index Futures, Continuous Contract #9 (NK9)"
CHRIS/SGX_NU1,"SGX USD Nikkei 225 Index Futures, Continuous Contract #1 (NU1) (Front Month)"
CHRIS/SGX_NU2,"SGX USD Nikkei 225 Index Futures, Continuous Contract #2 (NU2)"
CHRIS/SGX_ND1,"SGX Nikkei Stock Average Dividend Point Index Futures, Continuous Contract #1 (ND1) (Front Month)"
CHRIS/SGX_NK10,"SGX Nikkei 225 Index Futures, Continuous Contract #10 (NK10)"
CHRIS/SGX_ND2,"SGX Nikkei Stock Average Dividend Point Index Futures, Continuous Contract #2 (ND2)"
CHRIS/SGX_CN1,"SGX FTSE China A50 Index Futures, Continuous Contract #1 (CN1) (Front Month)"
CHRIS/SGX_ST1,"SGX Straits Times Index Futures, Continuous Contract #1 (ST1) (Front Month)"
CHRIS/SGX_ST2,"SGX Straits Times Index Futures, Continuous Contract #2 (ST2)"
CHRIS/SGX_CN2,"SGX FTSE China A50 Index Futures, Continuous Contract #2 (CN2)"
CHRIS/MX_BAX1,"Three-Month Canadian Bankers' Acceptance Futures, Continuous Contract #1 (BAX1) (Front Month)"
CHRIS/MX_BAX2,"Three-Month Canadian Bankers' Acceptance Futures, Continuous Contract #2 (BAX2)"
CHRIS/MX_ONX1,"30-Day Overnight Repo Rate Futures, Continuous Contract #1 (ONX1) (Front Month)"
CHRIS/MX_ONX2,"30-Day Overnight Repo Rate Futures, Continuous Contract #2 (ONX2)"
CHRIS/MX_OIS1,"Overnight Index Swap Futures, Continuous Contract #1 (OIS1) (Front Month)"
CHRIS/MX_OIS2,"Overnight Index Swap Futures, Continuous Contract #2 (OIS2)"
CHRIS/LIFFE_L1,"Short Sterling Futures, Continuous Contract #1 (L1) (Front Month)"
CHRIS/LIFFE_L2,"Short Sterling Futures, Continuous Contract #2 (L2)"
CHRIS/LIFFE_L3,"Short Sterling Futures, Continuous Contract #3 (L3)"
CHRIS/LIFFE_L4,"Short Sterling Futures, Continuous Contract #4 (L4)"
CHRIS/LIFFE_L5,"Short Sterling Futures, Continuous Contract #5 (L5)"
